CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
33111,NO42NE 9,Morton,Settlement (Mesolithic),346700,725700,FIFE,FIFE,FORGAN,NO 467 257,http://canmore.org.uk/site/33111
37804,NR38NE 15,"Oronsay, 'caisteal Nan Gillean 2'",Shell Midden (Mesolithic),135860,688010,ARGYLL AND BUTE,ARGYLL,COLONSAY AND ORONSAY,NR 3586 8801,http://canmore.org.uk/site/37804
22202,NM49NW 3,"Rum, Farm Fields, Kinloch","Occupation Site (Period Unassigned), Unidentified Flint(S) (Flint), Unidentified Pottery (Neolithic)",140300,799800,HIGHLAND,INVERNESS-SHIRE,SMALL ISLES,NM 403 998,http://canmore.org.uk/site/22202
37801,NR38NE 12,"Oronsay, 'cnoc Sligeach'",Shell Midden (Mesolithic),137270,689090,ARGYLL AND BUTE,ARGYLL,COLONSAY AND ORONSAY,NR 3727 8909,http://canmore.org.uk/site/37801
37820,NR38NE 8,"Oronsay, 'caisteal Nan Gillean 1'",Midden (Mesolithic),135820,687970,ARGYLL AND BUTE,ARGYLL,COLONSAY AND ORONSAY,NR 3582 8797,http://canmore.org.uk/site/37820
181536,NG50SE 27,"Skye, Camas Daraich","Bloodstone Scatter (Mesolithic), Occupation Site (Mesolithic)(Possible), Shell Midden (Period Unassigned), Lithic Implement(S) (Mesolithic)",156700,800000,HIGHLAND,INVERNESS-SHIRE,SLEAT,NG 567 000,http://canmore.org.uk/site/181536
312134,NM45SW 62,Creit Dhu,"Hearth(S) (Mesolithic), Post Hole(S) (Mesolithic), Rubbish Pit(S) (Mesolithic), Stake Hole(S) (Mesolithic), Organic Material(S) (Mesolithic)",140930,753180,ARGYLL AND BUTE,ARGYLL,KILNINIAN AND KILMORE,NM 4093 5318,http://canmore.org.uk/site/312134
67452,NY36NW 34,Redkirk Point,"Hearth (Mesolithic), Occupation Site (Mesolithic)",330050,565140,DUMFRIES AND GALLOWAY,DUMFRIES-SHIRE,GRETNA,NY 3005 6514,http://canmore.org.uk/site/67452
70280,NR25NW 44,"Islay, Bolsay","Pit (Period Unassigned), Unidentified Flint(S) (Flint)",122390,657110,ARGYLL AND BUTE,ARGYLL,KILCHOMAN,NR 2239 5711,http://canmore.org.uk/site/70280
312113,NR36SE 72,"Islay, Airigh Ghuaidhre","Artefact Scatter (Mesolithic), Organic Material(S) (Bone), Organic Material(S) (Mesolithic)",139850,662700,ARGYLL AND BUTE,ARGYLL,KILLAROW AND KILMENY,NR 3985 6270,http://canmore.org.uk/site/312113
11349,NG46NE 19,"Skye, An Corran","Shell Midden (Period Unassigned), Flake (Chert), Point (Flint)",149000,868500,HIGHLAND,INVERNESS-SHIRE,KILMUIR,NG 490 685,http://canmore.org.uk/site/11349
22022,NM43NW 22,"A' Chrannag, Ulva","Cave (Period Unassigned), Animal Remains",143140,738430,ARGYLL AND BUTE,ARGYLL,KILNINIAN AND KILMORE,NM 4314 3843,http://canmore.org.uk/site/22022
22508,NM65NW 22,"Risga, Loch Sunart","Midden (Period Unassigned), Shell Midden (Period Unassigned), Structure (Period Unassigned), Flake(S), Hammer(S), Harpoon(S), Lithic Implement(S), Mattock(S)",161100,759900,HIGHLAND,ARGYLL,ARDNAMURCHAN,NM 611 599,http://canmore.org.uk/site/22508
22534,NM69SE 1,"Rubh' An Achaidh Mhoir, Glenancross, Morar","Midden (Mesolithic), Occupation Site (Mesolithic), Unidentified Flint(S) (Flint)(Mesolithic)",166300,792100,HIGHLAND,INVERNESS-SHIRE,ARISAIG AND MOIDART,NM 663 921,http://canmore.org.uk/site/22534
36638,NO79NE 23,Nether Mills Of Crathes,"Flint Scatter (Prehistoric), Settlement (Period Unassigned)(Possible)",375880,796160,ABERDEENSHIRE,KINCARDINESHIRE,BANCHORY-TERNAN,NO 7588 9616,http://canmore.org.uk/site/36638
37314,NR25NW 10,"Islay, Gleann Mor",Flint Scatter (Prehistoric),123320,658200,ARGYLL AND BUTE,ARGYLL,KILCHOMAN,NR 2332 5820,http://canmore.org.uk/site/37314
37817,NR38NE 5,"Oronsay, Oronsay Airstrip",Midden (Period Unassigned),136050,688330,ARGYLL AND BUTE,ARGYLL,COLONSAY AND ORONSAY,NR 3605 8833,http://canmore.org.uk/site/37817
38648,NR68NW 2,"Jura, Lussa Bay",Unidentified Flint(S) (Flint),164200,686800,ARGYLL AND BUTE,ARGYLL,JURA,NR 642 868,http://canmore.org.uk/site/38648
74460,NR39SE 99,"Colonsay, Staosnaig",Flint Scatter (Prehistoric),138750,693310,ARGYLL AND BUTE,ARGYLL,COLONSAY AND ORONSAY,NR 3875 9331,http://canmore.org.uk/site/74460
98306,NR46NW 62,"Islay, Port Na Seilich","Archaeological Feature(S) (Mesolithic), Artefact Scatter (Mesolithic), Croft (19-20th Century)(Possible), Standing Stone (Period Unassigned), Township (Period Unassigned), Wall(S) (Period Unassigned)",143040,667450,ARGYLL AND BUTE,ARGYLL,KILLAROW AND KILMENY,NR 4304 6745,http://canmore.org.uk/site/98306
143603,NR35NW 56,"Islay, General",Island (Period Unassigned),132000,656000,ARGYLL AND BUTE,ARGYLL,KILLAROW AND KILMENY,NR 3200 5600,http://canmore.org.uk/site/143603
3871,HZ27SW 2,"Fair Isle, North Haven","Axehead (Flint)(Mesolithic), Core (Flint)(Mesolithic)",422000,1072000,SHETLAND ISLANDS,SHETLAND,DUNROSSNESS,HZ 22 72,http://canmore.org.uk/site/3871
11933,NG85SW 2,"Ceann-locha, Shieldaig",Occupation Site (Mesolithic),181620,852270,HIGHLAND,ROSS AND CROMARTY,APPLECROSS,NG 8162 5227,http://canmore.org.uk/site/11933
22497,NM66NW 3,"Ardnamurchan, Kentra Bay, Bruach Na Maorach","Flake (Bloodstone)(Mesolithic), Unidentified Flint(S) (Flint)(Mesolithic)",164500,767600,HIGHLAND,ARGYLL,ARDNAMURCHAN,NM 645 676,http://canmore.org.uk/site/22497
22894,NM82NE 2,"Oban, Druimvargie Rock Shelter","Cave (Mesolithic), Occupation Site (Mesolithic)",185740,729620,ARGYLL AND BUTE,ARGYLL,KILMORE AND KILBRIDE,NM 8574 2962,http://canmore.org.uk/site/22894
22947,NM82NW 20,"Oban, Carding Mill Bay","Cist (Period Unassigned), Shell Midden (Period Unassigned)",184700,729400,ARGYLL AND BUTE,ARGYLL,KILMORE AND KILBRIDE,NM 847 294,http://canmore.org.uk/site/22947
